theta1,theta2,theta3,theta4,d_min
-2.364641852652762,1.7059395053828346,5.368903358810576,-0.6505159570936945,0
-1.999556704772048,-1.3032867306270304,-6.188130428959724,-2.7880423410937785,1
-3.2518874747708066,-1.3956913302705813,6.051482701134245,1.511692833305033,0
-2.452341173369644,1.8803647164157247,5.065798071868506,2.7719410907824953,1
-2.1263835904724893,-0.7768390977495896,4.607026064569797,-4.846852865933517,0
-4.64430023811389,2.102428387045259,0.6669837582856166,1.9355262630984003,0
-2.2313847661727384,-0.13511159399277473,-2.65985323667191,2.935943927820227,1
-4.518532900239898,0.22864825497793628,-4.7241956277053845,-5.76570617881136,0
-4.182001154514564,1.9492981530618407,6.098384528856273,-0.4399333902077176,0
-4.632038117300435,0.5536591911652362,3.6886478110332552,-5.2146699397633896,0
-4.267752773919368,-1.027926449788945,5.334252940281801,4.051643618154942,0
-3.7127876529388266,-1.00028959501389,-5.6683471877380285,-4.907414423601152,0
-3.6516993746136537,0.84935759996638,3.4379317753604264,4.590134243579125,0
-4.24432122354464,-2.195211393808683,-5.665015804619613,-3.33423851045729,1
-3.9377246430564874,2.1976667554655953,-6.223478430757882,0.1837445369813535,0
-3.7804979706133297,-0.14975828142887426,-1.2389741971294477,4.969174110179233,0
-4.560047007216003,-1.6492482826315493,4.430930988176823,-1.9087253219765001,0
-1.3536150879870719,-1.7247541123723256,1.1344223510923515,-1.2944327490872043,0
-2.184896331104236,1.851275273910281,-3.923823354839989,-5.214766414078816,0
-2.638280859645006,-0.39368554383351273,3.8613409710620994,6.2642167280385666,0
-1.384107094635084,-0.9895653401273048,-4.561524747947894,0.9403914360653021,0
-4.947467734026141,-0.9562144207417864,1.195873275591949,-1.3518441929022673,0
-4.62315579145814,-1.6141696808783963,-4.592351568787947,-1.6908465022188839,0
-1.0904715553277642,-1.9935072313254523,-6.058080110641103,-0.5868042487579475,0
-0.8665080709676518,-0.6617372645222375,-1.0000049498937198,5.767668466927874,0
-1.4618325967382146,1.0210354814712073,-2.706166608595475,4.98627979258882,0
-2.0114483257595137,1.577652786891059,5.137854069152234,0.37104821438050894,0
-3.3978117630805906,-0.0843924252517545,1.92719646515926,-2.519745858573791,0
-0.9488211500038739,-0.23523293660904576,-4.327653955112214,4.7013884280525415,0
-4.527604296633217,-0.886853314154125,3.667198779775659,3.564830813758962,1
-4.385625837235605,-0.6682076843419815,6.213453966623912,2.192944310856542,0
-2.499813976812878,1.7838631056857759,3.6121283430405002,-3.9541474273831914,0
-3.633023490704966,0.4100917655317988,1.92070190964382,5.719188818038906,0
-3.2001922168466326,0.20101749767273125,-5.829815042187871,5.7747680004550075,0
-4.797954688387575,-0.7115218255710629,-3.189403359497973,-5.456937749985117,0
-2.528312038469107,-0.38699798196074475,-2.354121440200986,-5.639936338859432,0
-3.6394057630961765,-1.153211437207279,-5.519762657618706,2.4892629536605133,0
-2.203263300774447,-1.9803632563478997,-1.329780238643096,-1.0473830086515026,0
-4.2071332913878,-1.2019983634293432,4.556322920585429,-6.264512734850434,0
