tau_m_n,tau_m_max,omega_n,eta_m,P_n,N,eta_t,phi_b,kp,kd,accuracy
0.6115504499134778,1.546,1057.6,0.9554248069380553,303.7118199345667,162.5,0.7149879198095714,0.0,103.286,21.196,0.004319389132972473
0.03775467035063308,1.546,1057.6,0.818481202922343,139.65643987373284,162.5,0.7823915687515764,0.0,103.286,21.196,0.008209195268403469
0.7157291310851408,1.546,1057.6,0.9309689012704069,846.881487227339,162.5,0.9659784279042725,0.0,103.286,21.196,0.004866547402914589
0.5298526066695178,1.546,1057.6,0.8932838252580346,595.2202331200431,162.5,0.8122928964178211,0.0,103.286,21.196,0.0013417027092002764
0.5525149125789809,1.546,1057.6,0.9711303193569878,535.7530930798875,162.5,0.7873795399049628,0.0,103.286,21.196,0.0005800492799564738
0.31760145978705795,1.546,1057.6,0.713069725712713,749.0408272505108,162.5,0.7747017471572575,0.0,103.286,21.196,0.013414973026944499
0.35518909586476244,1.546,1057.6,0.9663782073931615,450.45851469395154,162.5,0.9283106110520586,0.0,103.286,21.196,0.0036208929252671274
0.6211735414039506,1.546,1057.6,0.9146220572853112,274.3341370498548,162.5,0.8488687013054106,0.0,103.286,21.196,0.0013208797168199338
0.21658859137805356,1.546,1057.6,0.8792062391989243,869.6105443495097,162.5,0.9156670274790067,0.0,103.286,21.196,0.0014023078325759997
0.5985763349513268,1.546,1057.6,0.8575593213311288,999.0962870398436,162.5,0.9223921484645392,0.0,103.286,21.196,0.0027815511315555375
0.44957227854432313,1.546,1057.6,0.8632072035165707,543.3761970783555,162.5,0.8480083341662621,0.0,103.286,21.196,0.0016041670966894306
0.9432316508122042,1.546,1057.6,0.7086231665684767,186.42808373131524,162.5,0.9728182492044033,0.0,103.286,21.196,0.005101619027984339
0.7425133047982564,1.546,1057.6,0.9443379478384887,936.3193617586867,162.5,0.7833391892711357,0.0,103.286,21.196,0.00037634675770958914
0.23936890497217572,1.546,1057.6,0.7174253569934759,334.4832772641405,162.5,0.8260409045656651,0.0,103.286,21.196,0.00967268946543498
0.2477837576498632,1.546,1057.6,0.9741458479124607,567.8257691728584,162.5,0.8049329759054022,0.0,103.286,21.196,0.00014991112620353563
0.2632590836537346,1.546,1057.6,0.9866879188322775,706.0323748992466,162.5,0.8928006595145418,0.0,103.286,21.196,0.0029645913021577597
0.35150863959752776,1.546,1057.6,0.7771032504152809,100.1519375452933,162.5,0.9383224113524725,0.0,103.286,21.196,0.0018817637852730179
0.6781613041151072,1.546,1057.6,0.9264411069874278,458.57885452023305,162.5,0.9290306976768657,0.0,103.286,21.196,0.004065919895583359
0.3632791050977418,1.546,1057.6,0.8212642904277572,153.5285463288737,162.5,0.7296918421236813,0.0,103.286,21.196,0.009346611405886218
0.6227157327490683,1.546,1057.6,0.7106215628678211,636.0496407513101,162.5,0.9440208131322513,0.0,103.286,21.196,0.004513217569294126
0.6916823939927383,1.546,1057.6,0.7983970150420431,916.1353228793328,162.5,0.7447201870512709,0.0,103.286,21.196,0.0047284689753119835
0.2820935423372624,1.546,1057.6,0.8259434482191693,509.3408024696193,162.5,0.9069763542417597,0.0,103.286,21.196,0.0011721117076697854
0.9909336955955819,1.546,1057.6,0.7027863549549954,627.5263899786902,162.5,0.9630783336567976,0.0,103.286,21.196,0.004889740951461885
0.5616930791642687,1.546,1057.6,0.7093172143240708,476.3896241467213,162.5,0.8273110295722242,0.0,103.286,21.196,0.009470757930227476
0.04406407729304175,1.546,1057.6,0.941728810211193,113.92985316525197,162.5,0.7983349037078076,0.0,103.286,21.196,0.001775218688765512
0.7675855653602419,1.546,1057.6,0.797226154416015,483.2753494311468,162.5,0.8328771357402722,0.0,103.286,21.196,0.0014646130309287075
0.8756876772142989,1.546,1057.6,0.7990091691710518,429.6481514321689,162.5,0.714491125282048,0.0,103.286,21.196,0.0037066021108879132
0.03980045012921372,1.546,1057.6,0.9117990817229087,338.12060348572834,162.5,0.9363911465389104,0.0,103.286,21.196,0.0019216375010823183
0.8707424272680098,1.546,1057.6,0.7960044459183115,451.2039862646099,162.5,0.7085584551198778,0.0,103.286,21.196,0.0040551089396204665
0.10341273679141534,1.546,1057.6,0.8728740168176772,660.543206705004,162.5,0.8774289263087879,0.0,103.286,21.196,0.0007595695710446919
