tau_m_n,tau_m_max,omega_n,eta_m,P_n,N,eta_t,phi_b,l1,l2,kp,kd,accuracy,reach,weight,stabilisation_time
0.9895800881740473,2.152971245880112,1310.4382301832013,0.9935283487822577,116.56183088036109,124.06045477334222,0.9125868129424084,3.758006264341281,0.5777126165169072,0.39180541057555557,67.15381230672236,14.414906870973063,0.007320340111782433,0.9695180270924628,24.695180270924627,10.0
0.9617061444848245,1.9425120799855844,1210.3799593187953,0.993004538295828,118.42746249899372,134.23617941283578,0.9471813537572954,0.8510435883408017,0.5601258152081289,0.393165431254074,154.53295093818826,38.56735829500412,0.03449039931403175,0.9532912464622029,24.53291246462203,10.0
0.9084921483263116,1.817838148298657,1436.5050393246386,0.9490428343784114,108.20794880957403,120.2577995825049,0.8663027143706755,3.2209348243877507,0.5724694028020525,0.3845725284621203,236.21265102402262,24.765100333773354,0.0007444026762588054,0.9570419312641728,24.57041931264173,0.41600000000000004
0.8723797811217743,1.7565281110815034,1473.3268325084373,0.9196978313640022,162.13531775561427,140.19962292964772,0.9051145959570107,1.8991104798923946,0.5644941896120239,0.3918481848760723,71.27814823512412,27.199290921111157,0.135447340609807,0.9563423744880962,24.563423744880964,10.0
0.9692019157046888,1.0188757369617143,1314.638638559157,0.937196292315868,138.32295435254161,132.5643485504005,0.8944404583104212,3.029768656119459,0.584214089929108,0.38726404385511526,114.02984001269286,28.43797019737178,0.03581346387506834,0.9714781337842232,24.714781337842233,10.0
0.9663952870014053,2.155116060099664,1277.3246206968543,0.9259211751911677,110.64256620604642,127.72503513511434,0.8574961849940337,0.44389502046229523,0.582411294411519,0.395854633974736,193.56472058529263,16.303944365974665,0.003796604026115147,0.9782659283862549,24.78265928386255,0.964
0.9178233367812958,1.8807058085716037,1408.0591033041496,0.8952596324670186,159.1240578005604,147.4559149192213,0.8881536054010375,0.052003304947426804,0.5954211574849391,0.3878433393460126,192.75998237566054,29.633127209441465,0.00035657093158703024,0.9832644968309516,24.832644968309516,0.758
0.8092174433467253,1.4708866900706745,1380.1988187441361,0.9207073085431454,140.99331184918054,140.79623669994086,0.9175164972761352,0.262924272612525,0.5598393476455636,0.3916490549942641,136.51567697961946,31.48235478275305,0.022328250050056342,0.9514884026398278,24.514884026398278,10.0
0.9352276613967954,1.4058036431648198,1203.4822991520866,0.9068611480652945,189.8682715573804,118.98879103458596,0.9475775184352327,2.137712508201582,0.5936832724224325,0.39573372148791425,170.77006037155326,29.62309686068008,0.0037958599154882533,0.9894169939103468,24.894169939103467,0.963
0.8798722956716036,1.1683922723024631,1201.644604071796,0.9160742523503208,172.11814285760704,146.2548302405118,0.8553661926944913,1.5115056470711457,0.5763452587673256,0.3828772773751578,170.6952419439383,36.44954870190671,0.01819948439290464,0.9592225361424833,24.592225361424834,10.0
