tau_m_n,tau_m_max,omega_n,eta_m,P_n,N,eta_t,phi_b,l1,l2,kp,kd,accuracy,reach,weight,stabilisation_time
0.6901033602126091,2.9960832390644643,1476.0436768536588,0.8481469039823363,125.05246199415375,148.76200901841037,0.679758598451746,3.5533960517699485,0.18758733849273682,0.2735868286359082,161.54814920297144,24.82842173368987,0.038508397806510046,0.461174167128645,19.61174167128645,0.9440000000000001
0.8619284551771683,2.5479233046385805,1368.8072485142734,0.7776566086565943,119.48068278613867,145.8190417618934,0.6464926094260581,2.0013952386734593,0.24657924903093334,0.2993345889893336,157.40831459364054,24.898664392448612,0.0001661876663254791,0.5459138380202669,20.45913838020267,0.8140000000000001
0.6900290905268074,2.587627544673779,1485.9876532056796,0.8947727474129084,103.30756602375425,133.4597835313016,0.9422302600968574,7.373663287400593,0.472835175815571,0.30591594028491975,158.39896585534862,24.865217572462793,0.0004960415381276562,0.7787511161004907,22.787511161004907,0.671
0.7839105499386647,2.30958621177689,1326.3907372799092,0.9313318512406962,112.12928173886576,117.64802277066265,0.39142294024165014,5.49878997714846,0.4936243481893561,0.20451268843284384,156.33351329295053,25.207954342869304,0.015169597898491519,0.6981370366222,21.981370366222,0.9560000000000001
0.7164305228512025,2.9328006226293084,1188.0945842954382,0.8475339561985421,131.4239141292606,149.9732870018588,0.9729670042255805,8.668890876084316,0.5687143655934304,0.22338584766357597,160.2837327768529,25.33575590270531,0.0011955549631811335,0.7921002132570063,22.921002132570063,0.685
0.7072277194186793,2.1209139483040365,1320.064322673493,0.8508435778560921,129.54472524396692,121.89504947024575,0.5424733374796571,7.5449854165533194,0.34454146963301635,0.2898885670726732,161.67447311490153,25.01139714458527,0.0015573570911650038,0.6344300367056895,21.344300367056896,0.887
0.716844904777887,2.574879955211954,1144.197139740768,0.8459834690540469,108.41992796265674,149.88875045138454,0.9162438264994499,0.41095427234752613,0.19719237266140852,0.26010141359886196,156.49476412448496,25.14969998264575,0.014851031576805611,0.4572937862602705,19.572937862602707,10.0
0.7087356081921626,2.508341729738607,1286.7798550593895,0.9929448949859121,115.0527218465913,122.21373152923233,0.3323140162877965,6.496824110462962,0.4818881250239686,0.2756330699205461,159.7321117976819,24.692012435760834,0.010718920921616781,0.7575211949445146,22.575211949445148,0.972
0.634870237702098,2.963184993737756,1270.405058246046,0.9994213996069858,122.46493691814509,125.50437993720615,0.46666806303857344,6.528872375053238,0.5602298282111456,0.26696096696799587,159.44801497067326,25.39082113359193,0.003813157184828957,0.8271907951791415,23.271907951791416,0.921
0.8794397765998325,2.0543016557606464,1254.9348003797822,0.857695477847763,106.84779790101041,147.46592189962004,0.3693950198694924,0.3050574567312425,0.34044918542053426,0.3001536406001474,155.93445907604766,25.15217018178275,0.004491828914783058,0.6406028260206816,21.406028260206817,0.457
