         1437625 function calls (1419330 primitive calls) in 1.605 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      527    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       93    0.000    0.000    0.007    0.000 typing.py:521(__getitem__)
     2699    0.003    0.000    0.007    0.000 generic.py:6301(__setattr__)
   163/55    0.000    0.000    0.007    0.000 _parser.py:452(_parse_sub)
       60    0.000    0.000    0.007    0.000 typing.py:1288(__or__)
     1497    0.007    0.000    0.007    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.000    0.000    0.007    0.007 _pickle.py:1(<module>)
   198/56    0.002    0.000    0.007    0.000 _parser.py:512(_parse)
     2158    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       60    0.000    0.000    0.007    0.000 generic.py:2167(__array_ufunc__)
        1    0.000    0.000    0.007    0.007 series.py:1(<module>)
        1    0.000    0.000    0.007    0.007 take.py:1(<module>)
       60    0.001    0.000    0.007    0.000 arraylike.py:253(array_ufunc)
        1    0.000    0.000    0.007    0.007 docscrape.py:1(<module>)
        2    0.000    0.000    0.007    0.003 construction.py:1(<module>)
      487    0.004    0.000    0.006    0.000 cast.py:1156(maybe_infer_to_datetimelike)
       91    0.001    0.000    0.006    0.000 typing.py:753(Literal)
  3724/98    0.003    0.000    0.006    0.000 copy.py:118(deepcopy)
        1    0.000    0.000    0.006    0.006 _char_codes.py:1(<module>)
     8810    0.003    0.000    0.006    0.000 generic.py:42(_instancecheck)
     2162    0.006    0.000    0.006    0.000 {built-in method posix.stat}
      864    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:486(cache_from_source)
      240    0.000    0.000    0.006    0.000 base.py:6679(_maybe_cast_listlike_indexer)
   196/98    0.001    0.000    0.006    0.000 copy.py:217(_deepcopy_dict)
        2    0.000    0.000    0.006    0.003 readers.py:868(read_csv)
        2    0.000    0.000    0.006    0.003 readers.py:583(_read)
     1288    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:162(__enter__)
30145/30143    0.005    0.000    0.006    0.000 {built-in method builtins.getattr}
        3    0.000    0.000    0.006    0.002 datetimes.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _json.py:1(<module>)
      248    0.006    0.000    0.006    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      265    0.001    0.000    0.006    0.000 overrides.py:142(decorator)
       40    0.000    0.000    0.006    0.000 arrayprint.py:1685(_array_str_implementation)
     4423    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      542    0.001    0.000    0.006    0.000 array_ops.py:240(arithmetic_op)
       60    0.000    0.000    0.006    0.000 arraylike.py:240(__pow__)
        1    0.000    0.000    0.006    0.006 shape_base.py:1(<module>)
       61    0.000    0.000    0.005    0.000 arraylike.py:98(__add__)
