         1437625 function calls (1419330 primitive calls) in 1.605 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       95    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
        1    0.000    0.000    0.000    0.000 _parser.py:1371(_tzparser)
        1    0.000    0.000    0.000    0.000 encoding.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        5    0.000    0.000    0.000    0.000 managers.py:1026(iget_values)
       26    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:18(numeric_type_aliases)
        1    0.000    0.000    0.000    0.000 __init__.py:343(__init__)
        2    0.000    0.000    0.000    0.000 random.py:126(__init__)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 integer.py:235(UInt8Dtype)
        1    0.000    0.000    0.000    0.000 docstrings.py:1(<module>)
        1    0.000    0.000    0.000    0.000 csvs.py:233(encoded_labels)
        1    0.000    0.000    0.000    0.000 base.py:21(BaseStringArrayMethods)
       73    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
       20    0.000    0.000    0.000    0.000 typing.py:1569(<genexpr>)
        1    0.000    0.000    0.000    0.000 _linalg.py:59(SVDResult)
       38    0.000    0.000    0.000    0.000 typing.py:295(_check_generic)
        1    0.000    0.000    0.000    0.000 _validators.py:1(<module>)
      114    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
        3    0.000    0.000    0.000    0.000 blocks.py:225(_consolidate_key)
        4    0.000    0.000    0.000    0.000 datetimelike.py:169(_period_dispatch)
        9    0.000    0.000    0.000    0.000 common.py:188(_expand_user)
       15    0.000    0.000    0.000    0.000 dtypes.py:1054(construct_from_string)
        1    0.000    0.000    0.000    0.000 objects.py:123(VariableWindowIndexer)
        1    0.000    0.000    0.000    0.000 subprocess.py:749(Popen)
        4    0.000    0.000    0.000    0.000 indexing.py:1574(_validate_key)
        4    0.000    0.000    0.000    0.000 nanops.py:383(_datetimelike_compat)
        4    0.000    0.000    0.000    0.000 _compiler.py:396(_bytes_to_codes)
        1    0.000    0.000    0.000    0.000 _arrayterator_impl.py:1(<module>)
       42    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:83(<genexpr>)
        1    0.000    0.000    0.000    0.000 _dtype_ctypes.py:1(<module>)
       25    0.000    0.000    0.000    0.000 contextlib.py:104(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method time.tzset}
      120    0.000    0.000    0.000    0.000 {function FrozenList.__getitem__ at 0x7f425ac8e480}
        1    0.000    0.000    0.000    0.000 pathlib.py:551(drive)
        2    0.000    0.000    0.000    0.000 generic.py:4585(_is_view)
      120    0.000    0.000    0.000    0.000 multiarray.py:107(empty_like)
        2    0.000    0.000    0.000    0.000 functools.py:188(total_ordering)
        1    0.000    0.000    0.000    0.000 functools.py:803(singledispatch)
        2    0.000    0.000    0.000    0.000 _decorators.py:172(_deprecate_kwarg)
        4    0.000    0.000    0.000    0.000 uuid.py:139(__init__)
       60    0.000    0.000    0.000    0.000 arraylike.py:418(_standardize_out_kwarg)
        2    0.000    0.000    0.000    0.000 base_parser.py:191(_validate_parse_dates_presence)
        1    0.000    0.000    0.000    0.000 compat.py:1(<module>)
       15    0.000    0.000    0.000    0.000 dtypes.py:831(construct_from_string)
        1    0.000    0.000    0.000    0.000 _warnings.py:1(<module>)
       38    0.000    0.000    0.000    0.000 getlimits.py:721(max)
        1    0.000    0.000    0.000    0.000 apply.py:770(FrameApply)
        1    0.000    0.000    0.000    0.000 ops.py:560(BaseGrouper)
        1    0.000    0.000    0.000    0.000 datetimelike_accumulations.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:252(_missing_ctypes)
        1    0.000    0.000    0.000    0.000 inspect.py:3300(__str__)
        1    0.000    0.000    0.000    0.000 defmatrix.py:72(matrix)
       77    0.000    0.000    0.000    0.000 __init__.py:348(<genexpr>)
        3    0.000    0.000    0.000    0.000 copy.py:61(copy)
        1    0.000    0.000    0.000    0.000 platform.py:985(system)
       10    0.000    0.000    0.000    0.000 base.py:461(__str__)
        1    0.000    0.000    0.000    0.000 objects.py:93(FixedWindowIndexer)
        2    0.000    0.000    0.000    0.000 _version.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _parser.py:893(_parse_flags)
       55    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
        1    0.000    0.000    0.000    0.000 flags.py:1(<module>)
        1    0.000    0.000    0.000    0.000 random.py:135(seed)
       46    0.000    0.000    0.000    0.000 six.py:110(__init__)
        1    0.000    0.000    0.000    0.000 _arrow_string_mixins.py:1(<module>)
        3    0.000    0.000    0.000    0.000 <frozen genericpath>:27(isfile)
        1    0.000    0.000    0.000    0.000 pprint.py:106(PrettyPrinter)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1885(_split_scope_id)
        1    0.000    0.000    0.000    0.000 _linalg.py:47(EighResult)
       18    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:19(type_aliases_gen)
        1    0.000    0.000    0.000    0.000 selectn.py:43(SelectN)
        1    0.000    0.000    0.000    0.000 objects.py:149(VariableOffsetWindowIndexer)
        2    0.000    0.000    0.000    0.000 core.py:6990(__init__)
        2    0.000    0.000    0.000    0.000 series.py:664(_constructor_from_mgr)
      217    0.000    0.000    0.000    0.000 inspect.py:3089(parameters)
        1    0.000    0.000    0.000    0.000 objects.py:348(GroupbyIndexer)
        1    0.000    0.000    0.000    0.000 tz.py:1470(__get_gettz)
        2    0.000    0.000    0.000    0.000 base_parser.py:362(_make_index)
        1    0.000    0.000    0.000    0.000 tarfile.py:849(TarInfo)
        1    0.000    0.000    0.000    0.000 objects.py:441(ExponentialMovingWindowIndexer)
        5    0.000    0.000    0.000    0.000 typing.py:1481(<genexpr>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1281(IntegerFormat)
      203    0.000    0.000    0.000    0.000 enum.py:1184(__init__)
        2    0.000    0.000    0.000    0.000 arrayprint.py:547(decorating_function)
        1    0.000    0.000    0.000    0.000 CrashDesign.py:1(<module>)
        6    0.000    0.000    0.000    0.000 signal.py:51(decorator)
        1    0.000    0.000    0.000    0.000 integer.py:221(Int32Dtype)
        1    0.000    0.000    0.000    0.000 objects.py:297(FixedForwardWindowIndexer)
        2    0.000    0.000    0.000    0.000 c_parser_wrapper.py:201(_set_noconvert_columns)
        2    0.000    0.000    0.000    0.000 core.py:3024(_update_from)
        1    0.000    0.000    0.000    0.000 pathlib.py:870(is_dir)
      108    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
        1    0.000    0.000    0.000    0.000 objects.py:279(ExpandingIndexer)
        2    0.000    0.000    0.000    0.000 missing.py:564(_array_equivalent_object)
        1    0.000    0.000    0.000    0.000 info.py:841(_TableBuilderVerboseMixin)
        1    0.000    0.000    0.000    0.000 pathlib.py:407(_load_parts)
        1    0.000    0.000    0.000    0.000 online.py:1(<module>)
       59    0.000    0.000    0.000    0.000 enum.py:93(_is_single_bit)
        1    0.000    0.000    0.000    0.000 _linalg.py:51(QRResult)
       18    0.000    0.000    0.000    0.000 base.py:520(register)
        1    0.000    0.000    0.000    0.000 cast.py:1952(np_can_cast_scalar)
        1    0.000    0.000    0.000    0.000 format.py:544(_initialize_justify)
       19    0.000    0.000    0.000    0.000 six.py:194(find_spec)
        1    0.000    0.000    0.000    0.000 _odswriter.py:31(ODSWriter)
        1    0.000    0.000    0.000    0.000 dtypes.py:107(PandasExtensionDtype)
        4    0.000    0.000    0.000    0.000 locale.py:464(_parse_localename)
        1    0.000    0.000    0.000    0.000 numeric.py:137(ones)
       72    0.000    0.000    0.000    0.000 {method 'removeprefix' of 'str' objects}
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
        1    0.000    0.000    0.000    0.000 tarfile.py:307(_LowLevelFile)
        1    0.000    0.000    0.000    0.000 _misc.py:608(_Options)
       10    0.000    0.000    0.000    0.000 blocks.py:2795(extend_blocks)
        1    0.000    0.000    0.000    0.000 _linalg.py:55(SlogdetResult)
       19    0.000    0.000    0.000    0.000 dataclasses.py:857(_set_qualname)
        1    0.000    0.000    0.000    0.000 _parser.py:568(parser)
        3    0.000    0.000    0.000    0.000 {built-in method _csv.register_dialect}
        2    0.000    0.000    0.000    0.000 __init__.py:592(__init__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 subprocess.py:470(CompletedProcess)
       68    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       10    0.000    0.000    0.000    0.000 dtypes.py:2171(name)
       60    0.000    0.000    0.000    0.000 base.py:692(_constructor)
      120    0.000    0.000    0.000    0.000 numeric.py:58(_zeros_like_dispatcher)
       53    0.000    0.000    0.000    0.000 six.py:182(_add_module)
        1    0.000    0.000    0.000    0.000 sysconfig.py:222(is_python_build)
       20    0.000    0.000    0.000    0.000 typing.py:1097(<genexpr>)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha3_256}
       10    0.000    0.000    0.000    0.000 enum.py:1393(_iter_member_by_value_)
        1    0.000    0.000    0.000    0.000 threading.py:884(__init__)
       15    0.000    0.000    0.000    0.000 dtypes.py:1835(construct_from_string)
       13    0.000    0.000    0.000    0.000 mixins.py:38(_inplace_binary_method)
       11    0.000    0.000    0.000    0.000 dataclasses.py:404(field)
       23    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.000    0.000 merge.py:713(_MergeOperation)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:1(<module>)
        2    0.000    0.000    0.000    0.000 base.py:3766(_convert_can_do_setop)
        1    0.000    0.000    0.000    0.000 _optional.py:1(<module>)
       11    0.000    0.000    0.000    0.000 dataclasses.py:489(_field_init)
        1    0.000    0.000    0.000    0.000 csvs.py:219(write_cols)
        1    0.000    0.000    0.000    0.000 platform.py:896(uname)
       25    0.000    0.000    0.000    0.000 {built-in method posix._path_normpath}
        1    0.000    0.000    0.000    0.000 grouper.py:66(Grouper)
        1    0.000    0.000    0.000    0.000 base.py:501(Registry)
       61    0.000    0.000    0.000    0.000 {method 'get' of '_contextvars.ContextVar' objects}
        1    0.000    0.000    0.000    0.000 numbers.py:57(Complex)
        1    0.000    0.000    0.000    0.000 _shape_base_impl.py:621(column_stack)
        2    0.000    0.000    0.000    0.000 <frozen os>:723(__delitem__)
        1    0.000    0.000    0.000    0.000 _tester.py:1(<module>)
      120    0.000    0.000    0.000    0.000 base.py:1979(nlevels)
       28    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
        1    0.000    0.000    0.000    0.000 range.py:237(_data)
        5    0.000    0.000    0.000    0.000 weakref.py:289(update)
        1    0.000    0.000    0.000    0.000 _polynomial_impl.py:1080(poly1d)
       10    0.000    0.000    0.000    0.000 <frozen _collections_abc>:104(_check_methods)
       15    0.000    0.000    0.000    0.000 dtypes.py:2228(construct_from_string)
       60    0.000    0.000    0.000    0.000 _index_tricks_impl.py:794(__getitem__)
       78    0.000    0.000    0.000    0.000 _internal.py:904(<genexpr>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1914(IPv6Address)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1280(__init__)
       30    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        2    0.000    0.000    0.000    0.000 base_parser.py:350(_maybe_make_multi_index_columns)
        8    0.000    0.000    0.000    0.000 _nbit_base.py:52(__init_subclass__)
        4    0.000    0.000    0.000    0.000 <frozen posixpath>:179(dirname)
       64    0.000    0.000    0.000    0.000 _decorators.py:437(__init__)
       14    0.000    0.000    0.000    0.000 enum.py:985(_find_data_repr_)
      114    0.000    0.000    0.000    0.000 __init__.py:108(<lambda>)
        5    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.generic' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1371(__iter__)
        2    0.000    0.000    0.000    0.000 _strptime.py:108(__calc_am_pm)
      114    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
        1    0.000    0.000    0.000    0.000 pickle.py:404(_Pickler)
        1    0.000    0.000    0.000    0.000 sorting.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dataframe_protocol.py:174(Column)
        2    0.000    0.000    0.000    0.000 base_parser.py:871(_do_date_conversions)
       64    0.000    0.000    0.000    0.000 {method 'removesuffix' of 'str' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1336(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1126(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 dtypes.py:155(CategoricalDtype)
        1    0.000    0.000    0.000    0.000 pathlib.py:835(stat)
        1    0.000    0.000    0.000    0.000 _common.py:149(_tzinfo)
        1    0.000    0.000    0.000    0.000 inference.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pydoc.py:594(HTMLDoc)
       14    0.000    0.000    0.000    0.000 mixins.py:28(_reflected_binary_method)
      114    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _parser.py:1373(_result)
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 selectors.py:588(_can_use)
       30    0.000    0.000    0.000    0.000 getlimits.py:708(min)
       64    0.000    0.000    0.000    0.000 common.py:24(unpack_zerodim_and_defer)
        1    0.000    0.000    0.000    0.000 multi.py:208(names_compat)
        2    0.000    0.000    0.000    0.000 enum.py:1676(global_enum)
        1    0.000    0.000    0.000    0.000 pathlib.py:387(_parse_path)
        2    0.000    0.000    0.000    0.000 pathlib.py:1157(__init__)
        1    0.000    0.000    0.000    0.000 pathlib.py:420(_from_parsed_parts)
        1    0.000    0.000    0.000    0.000 subprocess.py:695(_use_posix_spawn)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f4260920680}
        3    0.000    0.000    0.000    0.000 dataclasses.py:428(_fields_in_init_order)
        1    0.000    0.000    0.000    0.000 numpy_.py:48(NumpyExtensionArray)
      164    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        2    0.000    0.000    0.000    0.000 textwrap.py:143(_munge_whitespace)
        1    0.000    0.000    0.000    0.000 sql.py:2642(SQLiteDatabase)
        1    0.000    0.000    0.000    0.000 expr.py:337(BaseExprVisitor)
        2    0.000    0.000    0.000    0.000 generic.py:3995(_maybe_update_cacher)
      103    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
        2    0.000    0.000    0.000    0.000 readers.py:2133(_refine_defaults_read)
        8    0.000    0.000    0.000    0.000 <frozen posixpath>:60(isabs)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        6    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
        2    0.000    0.000    0.000    0.000 __init__.py:892(_addHandlerRef)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1353(_get_parent_path)
        2    0.000    0.000    0.000    0.000 indexing.py:1652(_is_scalar_access)
        3    0.000    0.000    0.000    0.000 common.py:292(is_fsspec_url)
        1    0.000    0.000    0.000    0.000 tarfile.py:1646(TarFile)
        1    0.000    0.000    0.000    0.000 pytables.py:485(HDFStore)
        1    0.000    0.000    0.000    0.000 pathlib.py:292(PurePath)
       15    0.000    0.000    0.000    0.000 managers.py:2177(_grouping_func)
        1    0.000    0.000    0.000    0.000 apply.py:1134(FrameRowApply)
        1    0.000    0.000    0.000    0.000 _tzpath.py:36(_parse_python_tzpath)
        2    0.000    0.000    0.000    0.000 common.py:1233(dedup_names)
        1    0.000    0.000    0.000    0.000 dispatch.py:1(<module>)
       22    0.000    0.000    0.000    0.000 _type_aliases.py:118(<lambda>)
       15    0.000    0.000    0.000    0.000 dtypes.py:342(construct_from_string)
       62    0.000    0.000    0.000    0.000 lazy.py:96(lazy)
        3    0.000    0.000    0.000    0.000 {built-in method posix.uname}
        1    0.000    0.000    0.000    0.000 tz.py:41(tzutc)
        1    0.000    0.000    0.000    0.000 base.py:65(DataManager)
       28    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 base.py:181(SelectionMixin)
        1    0.000    0.000    0.000    0.000 base.py:264(_maybe_return_indexers)
        1    0.000    0.000    0.000    0.000 align.py:68(_filter_special_cases)
        1    0.000    0.000    0.000    0.000 _ranges.py:1(<module>)
        7    0.000    0.000    0.000    0.000 core.py:2611(_arraymethod)
        1    0.000    0.000    0.000    0.000 _array_utils_impl.py:1(<module>)
        3    0.000    0.000    0.000    0.000 base.py:4191(_validate_positional_slice)
        7    0.000    0.000    0.000    0.000 _compiler.py:412(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 threading.py:1045(_set_tstate_lock)
        1    0.000    0.000    0.000    0.000 base.py:43(ExtensionDtype)
        1    0.000    0.000    0.000    0.000 tz.py:132(tzoffset)
       60    0.000    0.000    0.000    0.000 multiarray.py:383(where)
       47    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
        2    0.000    0.000    0.000    0.000 indexing.py:1616(_has_valid_setitem_indexer)
        1    0.000    0.000    0.000    0.000 datetimelike.py:1737(DatelikeOps)
        1    0.000    0.000    0.000    0.000 blocks.py:164(maybe_split)
        1    0.000    0.000    0.000    0.000 _factories.py:26(__init__)
        8    0.000    0.000    0.000    0.000 __init__.py:234(_acquireLock)
        1    0.000    0.000    0.000    0.000 _shape.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:262(_register_at_fork_reinit_lock)
       60    0.000    0.000    0.000    0.000 fromnumeric.py:3730(_mean_dispatcher)
        2    0.000    0.000    0.000    0.000 blocks.py:350(getitem_block_columns)
        1    0.000    0.000    0.000    0.000 apply.py:1240(FrameColumnApply)
      112    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
        2    0.000    0.000    0.000    0.000 base.py:5425(_getitem_slice)
       60    0.000    0.000    0.000    0.000 fromnumeric.py:2472(_any_dispatcher)
        1    0.000    0.000    0.000    0.000 replace.py:1(<module>)
        1    0.000    0.000    0.000    0.000 offsets.py:1(<module>)
        2    0.000    0.000    0.000    0.000 base.py:3200(_get_reconciled_name_object)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:328(AxisConcatenator)
        1    0.000    0.000    0.000    0.000 numbers.py:319(Integral)
        9    0.000    0.000    0.000    0.000 dataclasses.py:437(_tuple_str)
        1    0.000    0.000    0.000    0.000 fnmatch.py:74(translate)
        2    0.000    0.000    0.000    0.000 <frozen os>:717(__setitem__)
      134    0.000    0.000    0.000    0.000 six.py:93(__init__)
       26    0.000    0.000    0.000    0.000 _strptime.py:355(repl)
       60    0.000    0.000    0.000    0.000 _linalg.py:2571(_norm_dispatcher)
        2    0.000    0.000    0.000    0.000 generic.py:2015(__iter__)
       58    0.000    0.000    0.000    0.000 dataclasses.py:461(<genexpr>)
        1    0.000    0.000    0.000    0.000 getlimits.py:384(finfo)
        1    0.000    0.000    0.000    0.000 calendar.py:96(_localized_month)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
      104    0.000    0.000    0.000    0.000 enum.py:251(__init__)
        1    0.000    0.000    0.000    0.000 array_manager.py:101(BaseArrayManager)
        1    0.000    0.000    0.000    0.000 platform.py:849(uname_result)
        2    0.000    0.000    0.000    0.000 csvs.py:211(_has_aliases)
        1    0.000    0.000    0.000    0.000 threading.py:616(set)
        1    0.000    0.000    0.000    0.000 dtypes.py:1610(SparseDtype)
        2    0.000    0.000    0.000    0.000 range.py:1032(_getitem_slice)
        1    0.000    0.000    0.000    0.000 _print_versions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _openpyxl.py:40(OpenpyxlWriter)
        4    0.000    0.000    0.000    0.000 <frozen _collections_abc>:288(__subclasshook__)
        1    0.000    0.000    0.000    0.000 boolean.py:239(BooleanArray)
        2    0.000    0.000    0.000    0.000 expr.py:126(_compose)
        1    0.000    0.000    0.000    0.000 masked_reductions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sql.py:2089(ADBCDatabase)
        1    0.000    0.000    0.000    0.000 managers.py:903(BlockManager)
        1    0.000    0.000    0.000    0.000 putmask.py:1(<module>)
      100    0.000    0.000    0.000    0.000 enum.py:941(<lambda>)
        1    0.000    0.000    0.000    0.000 _nbit.py:1(<module>)
       19    0.000    0.000    0.000    0.000 datetimes.py:124(_field_accessor)
       60    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 tz.py:482(_set_tzdata)
        2    0.000    0.000    0.000    0.000 six.py:96(__get__)
        2    0.000    0.000    0.000    0.000 cast.py:1722(can_hold_element)
        1    0.000    0.000    0.000    0.000 CrashDesign.py:5(__init__)
        1    0.000    0.000    0.000    0.000 floating.py:16(FloatingDtype)
        1    0.000    0.000    0.000    0.000 _json.py:818(JsonReader)
       22    0.000    0.000    0.000    0.000 {built-in method sys._getframemodulename}
        1    0.000    0.000    0.000    0.000 __init__.py:1878(LoggerAdapter)
       27    0.000    0.000    0.000    0.000 typing.py:2004(<genexpr>)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:966(clear)
        6    0.000    0.000    0.000    0.000 config.py:688(_warn_if_deprecated)
        1    0.000    0.000    0.000    0.000 tzinfo.py:159(DstTzInfo)
        4    0.000    0.000    0.000    0.000 locale.py:381(normalize)
       34    0.000    0.000    0.000    0.000 invalid.py:44(make_invalid_op)
       12    0.000    0.000    0.000    0.000 period.py:108(_field_accessor)
        1    0.000    0.000    0.000    0.000 csvs.py:215(_need_to_save_header)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
        1    0.000    0.000    0.000    0.000 sysconfig.py:466(_get_sysconfigdata_name)
        1    0.000    0.000    0.000    0.000 pathlib.py:824(Path)
        2    0.000    0.000    0.000    0.000 base_parser.py:601(_set_noconvert_dtype_columns)
        1    0.000    0.000    0.000    0.000 numbers.py:172(Real)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1487(IPv4Network)
       26    0.000    0.000    0.000    0.000 ipaddress.py:431(_ip_int_from_prefix)
        2    0.000    0.000    0.000    0.000 inspect.py:2830(__str__)
       61    0.000    0.000    0.000    0.000 fromnumeric.py:1126(_argsort_dispatcher)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1357(_recalculate)
       27    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 threading.py:873(Thread)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 ipaddress.py:1611(_BaseV6)
       40    0.000    0.000    0.000    0.000 fromnumeric.py:2236(_clip_dispatcher)
        2    0.000    0.000    0.000    0.000 common.py:1277(is_extension_array_dtype)
        3    0.000    0.000    0.000    0.000 csvs.py:179(_number_format)
        6    0.000    0.000    0.000    0.000 six.py:131(__init__)
        1    0.000    0.000    0.000    0.000 object_array.py:35(ObjectStringArrayMixin)
        1    0.000    0.000    0.000    0.000 stata.py:2250(StataWriter)
        2    0.000    0.000    0.000    0.000 __init__.py:535(_check_cacher)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        2    0.000    0.000    0.000    0.000 functools.py:844(_is_union_type)
        2    0.000    0.000    0.000    0.000 __init__.py:450(validate)
        6    0.000    0.000    0.000    0.000 _exceptions.py:17(_display_as_base)
        1    0.000    0.000    0.000    0.000 <frozen _collections_abc>:388(__subclasshook__)
        1    0.000    0.000    0.000    0.000 csv.py:83(DictReader)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
        2    0.000    0.000    0.000    0.000 blocks.py:790(copy)
        2    0.000    0.000    0.000    0.000 common.py:207(validate_header_arg)
       60    0.000    0.000    0.000    0.000 _function_base_impl.py:244(_flip_dispatcher)
        1    0.000    0.000    0.000    0.000 __init__.py:1271(ZipFile)
        1    0.000    0.000    0.000    0.000 spss.py:1(<module>)
       92    0.000    0.000    0.000    0.000 accessor.py:141(<lambda>)
        1    0.000    0.000    0.000    0.000 python_parser.py:71(PythonParser)
        1    0.000    0.000    0.000    0.000 uuid.py:85(UUID)
        1    0.000    0.000    0.000    0.000 pytables.py:2674(Fixed)
        1    0.000    0.000    0.000    0.000 managers.py:1825(SingleBlockManager)
        6    0.000    0.000    0.000    0.000 indexing.py:1181(<genexpr>)
        1    0.000    0.000    0.000    0.000 _utils.py:1(<module>)
       61    0.000    0.000    0.000    0.000 shape_base.py:76(_atleast_2d_dispatcher)
        1    0.000    0.000    0.000    0.000 __init__.py:1117(StreamHandler)
        1    0.000    0.000    0.000    0.000 socket.py:215(socket)
        1    0.000    0.000    0.000    0.000 _factories.py:56(__init__)
        2    0.000    0.000    0.000    0.000 c_parser_wrapper.py:194(close)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
       16    0.000    0.000    0.000    0.000 typing.py:2901(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:1510(setLevel)
        1    0.000    0.000    0.000    0.000 random.py:110(Random)
        1    0.000    0.000    0.000    0.000 csvs.py:121(_initialize_index_label)
        2    0.000    0.000    0.000    0.000 series.py:914(__len__)
       56    0.000    0.000    0.000    0.000 accessors.py:169(<lambda>)
        6    0.000    0.000    0.000    0.000 parse.py:119(_coerce_args)
        3    0.000    0.000    0.000    0.000 csvs.py:149(has_mi_columns)
       53    0.000    0.000    0.000    0.000 util.py:36(doc)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:54(_get_platform_and_machine)
        2    0.000    0.000    0.000    0.000 frame.py:1111(_values)
       12    0.000    0.000    0.000    0.000 __init__.py:149(__lt__)
        4    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
        1    0.000    0.000    0.000    0.000 pytables.py:2846(GenericFixed)
       23    0.000    0.000    0.000    0.000 config.py:849(inner)
        1    0.000    0.000    0.000    0.000 resample.py:1626(_GroupByMixin)
        1    0.000    0.000    0.000    0.000 stata.py:3204(StataWriter117)
        1    0.000    0.000    0.000    0.000 info.py:359(_BaseInfo)
        2    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        1    0.000    0.000    0.000    0.000 weakref.py:164(__setitem__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 numeric.py:43(NumericDtype)
        8    0.000    0.000    0.000    0.000 relativedelta.py:13(<genexpr>)
        1    0.000    0.000    0.000    0.000 _decorators.py:455(Appender)
       60    0.000    0.000    0.000    0.000 __init__.py:470(_parse_letter_version)
       78    0.000    0.000    0.000    0.000 signal.py:21(<lambda>)
        1    0.000    0.000    0.000    0.000 printing.py:507(__init__)
        1    0.000    0.000    0.000    0.000 tzfile.py:1(<module>)
        2    0.000    0.000    0.000    0.000 pathlib.py:358(__init__)
        5    0.000    0.000    0.000    0.000 inference.py:105(is_file_like)
        1    0.000    0.000    0.000    0.000 __init__.py:1867(__init__)
        1    0.000    0.000    0.000    0.000 grouper.py:488(Grouping)
       10    0.000    0.000    0.000    0.000 typing.py:993(_is_typevar_like)
        1    0.000    0.000    0.000    0.000 indexing.py:32(GroupByIndexingMixin)
        1    0.000    0.000    0.000    0.000 queue.py:28(Queue)
        1    0.000    0.000    0.000    0.000 times.py:1(<module>)
